"多音詞
序號",詞彙,詞頻,詞頻累積次數,前100名高頻詞累積百分比,"總詞數累積
百分比"
277,目標,288 ,"165,698 ",,25.25%
278,強調,288 ,"165,986 ",,25.29%
279,別人,286 ,"166,272 ",,25.33%
280,行動,285 ,"166,557 ",,25.38%
281,食物,285 ,"166,842 ",,25.42%
282,最近,284 ,"167,126 ",,25.46%
283,於是,283 ,"167,409 ",,25.51%
284,家庭,283 ,"167,692 ",,25.55%
285,基本,283 ,"167,975 ",,25.59%
286,手機,283 ,"168,258 ",,25.64%
287,形成,282 ,"168,540 ",,25.68%
288,那些,280 ,"168,820 ",,25.72%
289,餐廳,280 ,"169,100 ",,25.77%
290,根本,279 ,"169,379 ",,25.81%
291,電話,278 ,"169,657 ",,25.85%
292,持續,278 ,"169,935 ",,25.89%
293,更多,277 ,"170,212 ",,25.94%
294,你們,276 ,"170,488 ",,25.98%
295,電子,275 ,"170,763 ",,26.02%
296,網路,273 ,"171,036 ",,26.06%
297,參與,272 ,"171,308 ",,26.10%
298,林書豪,272 ,"171,580 ",,26.14%
299,討論,271 ,"171,851 ",,26.18%
300,幫助,271 ,"172,122 ",,26.23%
301,導致,271 ,"172,393 ",,26.27%
302,結束,271 ,"172,664 ",,26.31%
303,訴訟,270 ,"172,934 ",,26.35%
304,成長,269 ,"173,203 ",,26.39%
305,資料,269 ,"173,472 ",,26.43%
306,作為,269 ,"173,741 ",,26.47%
307,父母,269 ,"174,010 ",,26.51%
308,法院,268 ,"174,278 ",,26.55%
309,賈伯斯,268 ,"174,546 ",,26.60%
310,媽咪,268 ,"174,814 ",,26.64%
311,生命,267 ,"175,081 ",,26.68%
312,推出,265 ,"175,346 ",,26.72%
313,擔心,265 ,"175,611 ",,26.76%
314,維持,260 ,"175,871 ",,26.80%
315,願意,260 ,"176,131 ",,26.84%
316,裡面,259 ,"176,390 ",,26.88%
317,實在,258 ,"176,648 ",,26.92%
318,減少,257 ,"176,905 ",,26.96%
319,資訊,257 ,"177,162 ",,26.99%
320,找到,257 ,"177,419 ",,27.03%
321,時代,257 ,"177,676 ",,27.07%
322,嚴重,256 ,"177,932 ",,27.11%
323,美元,256 ,"178,188 ",,27.15%
324,比賽,256 ,"178,444 ",,27.19%
325,照片,255 ,"178,699 ",,27.23%
326,變化,255 ,"178,954 ",,27.27%
327,醫院,255 ,"179,209 ",,27.31%
328,神經,255 ,"179,464 ",,27.34%
329,表面,254 ,"179,718 ",,27.38%
330,同樣,254 ,"179,972 ",,27.42%
331,動作,254 ,"180,226 ",,27.46%
332,元素,254 ,"180,480 ",,27.50%
333,回到,253 ,"180,733 ",,27.54%
334,似乎,252 ,"180,985 ",,27.58%
335,真正,252 ,"181,237 ",,27.62%
336,基因,252 ,"181,489 ",,27.65%
337,生產,251 ,"181,740 ",,27.69%
338,以後,251 ,"181,991 ",,27.73%
339,國內,251 ,"182,242 ",,27.77%
340,產業,251 ,"182,493 ",,27.81%
341,科技,248 ,"182,741 ",,27.84%
342,保護,248 ,"182,989 ",,27.88%
343,來到,248 ,"183,237 ",,27.92%
344,業者,247 ,"183,484 ",,27.96%
345,終於,247 ,"183,731 ",,28.00%
346,現場,246 ,"183,977 ",,28.03%
347,合作,244 ,"184,221 ",,28.07%
348,治療,244 ,"184,465 ",,28.11%
349,選舉,244 ,"184,709 ",,28.14%
350,晚上,243 ,"184,952 ",,28.18%
351,女性,242 ,"185,194 ",,28.22%
352,或許,242 ,"185,436 ",,28.25%
353,思考,241 ,"185,677 ",,28.29%
354,至少,240 ,"185,917 ",,28.33%
355,關鍵,240 ,"186,157 ",,28.36%
356,以前,240 ,"186,397 ",,28.40%
357,第三,239 ,"186,636 ",,28.44%
358,玻璃,239 ,"186,875 ",,28.47%
359,即使,238 ,"187,113 ",,28.51%
360,建築,238 ,"187,351 ",,28.55%
361,離開,237 ,"187,588 ",,28.58%
362,不但,237 ,"187,825 ",,28.62%
363,患者,237 ,"188,062 ",,28.66%
364,所謂,236 ,"188,298 ",,28.69%
365,有關,236 ,"188,534 ",,28.73%
366,顯示,236 ,"188,770 ",,28.76%
367,母親,235 ,"189,005 ",,28.80%
368,位置,235 ,"189,240 ",,28.83%
369,有點,235 ,"189,475 ",,28.87%
370,平均,235 ,"189,710 ",,28.91%
371,調整,234 ,"189,944 ",,28.94%
372,人類,234 ,"190,178 ",,28.98%
373,根據,234 ,"190,412 ",,29.01%
374,方面,233 ,"190,645 ",,29.05%
375,通過,233 ,"190,878 ",,29.08%
376,明顯,232 ,"191,110 ",,29.12%
377,價值,232 ,"191,342 ",,29.15%
378,重新,231 ,"191,573 ",,29.19%
379,分析,231 ,"191,804 ",,29.23%
380,原則,231 ,"192,035 ",,29.26%
381,風格,230 ,"192,265 ",,29.30%
382,兩岸,230 ,"192,495 ",,29.33%
383,不錯,229 ,"192,724 ",,29.37%
384,會議,228 ,"192,952 ",,29.40%
385,針對,228 ,"193,180 ",,29.43%
386,來自,228 ,"193,408 ",,29.47%
387,調查,227 ,"193,635 ",,29.50%
388,想法,227 ,"193,862 ",,29.54%
389,之外,227 ,"194,089 ",,29.57%
390,毛澤東,226 ,"194,315 ",,29.61%
391,反應,225 ,"194,540 ",,29.64%
392,曾經,225 ,"194,765 ",,29.68%
393,建立,225 ,"194,990 ",,29.71%
394,控制,225 ,"195,215 ",,29.74%
395,以為,224 ,"195,439 ",,29.78%
396,舉辦,224 ,"195,663 ",,29.81%
397,長期,223 ,"195,886 ",,29.85%
398,反而,223 ,"196,109 ",,29.88%
399,制度,223 ,"196,332 ",,29.92%
400,達到,223 ,"196,555 ",,29.95%
401,不僅,222 ,"196,777 ",,29.98%
402,證明,221 ,"196,998 ",,30.02%
403,壓力,221 ,"197,219 ",,30.05%
404,音樂,221 ,"197,440 ",,30.08%
405,呈現,220 ,"197,660 ",,30.12%
406,習慣,220 ,"197,880 ",,30.15%
407,看起來,220 ,"198,100 ",,30.18%
408,自我,219 ,"198,319 ",,30.22%
409,不管,219 ,"198,538 ",,30.25%
410,確定,219 ,"198,757 ",,30.28%
411,到底,219 ,"198,976 ",,30.32%
412,分享,219 ,"199,195 ",,30.35%
413,同意,219 ,"199,414 ",,30.38%
414,部落,219 ,"199,633 ",,30.42%
415,原來,218 ,"199,851 ",,30.45%
416,擔任,218 ,"200,069 ",,30.48%
417,精神,218 ,"200,287 ",,30.52%
418,地板,218 ,"200,505 ",,30.55%
419,運用,217 ,"200,722 ",,30.58%
420,標準,217 ,"200,939 ",,30.62%
421,需求,217 ,"201,156 ",,30.65%
422,搭配,216 ,"201,372 ",,30.68%
423,食品,216 ,"201,588 ",,30.72%
424,負責,215 ,"201,803 ",,30.75%
425,至於,215 ,"202,018 ",,30.78%
426,動物,215 ,"202,233 ",,30.81%
427,香港,215 ,"202,448 ",,30.85%
428,同學,214 ,"202,662 ",,30.88%
429,畫面,214 ,"202,876 ",,30.91%
430,管理,213 ,"203,089 ",,30.94%
431,模式,213 ,"203,302 ",,30.98%
432,消費者,213 ,"203,515 ",,31.01%
433,對方,213 ,"203,728 ",,31.04%
434,一切,212 ,"203,940 ",,31.07%
435,條件,212 ,"204,152 ",,31.11%
436,並且,212 ,"204,364 ",,31.14%
437,說明,212 ,"204,576 ",,31.17%
438,幹部,212 ,"204,788 ",,31.20%
439,角色,211 ,"204,999 ",,31.24%
440,聽到,211 ,"205,210 ",,31.27%
441,隨著,211 ,"205,421 ",,31.30%
442,下午,211 ,"205,632 ",,31.33%
443,特色,211 ,"205,843 ",,31.36%
444,開放,211 ,"206,054 ",,31.40%
445,當事人,211 ,"206,265 ",,31.43%
446,蔡英文,211 ,"206,476 ",,31.46%
447,大量,210 ,"206,686 ",,31.49%
448,先生,210 ,"206,896 ",,31.52%
449,高雄,210 ,"207,106 ",,31.56%
450,教授,210 ,"207,316 ",,31.59%
451,消費,209 ,"207,525 ",,31.62%
452,的話,209 ,"207,734 ",,31.65%
453,穩定,209 ,"207,943 ",,31.68%
454,中共,209 ,"208,152 ",,31.72%
455,團隊,208 ,"208,360 ",,31.75%
456,儘管,208 ,"208,568 ",,31.78%
457,改善,208 ,"208,776 ",,31.81%
458,品牌,208 ,"208,984 ",,31.84%
459,協助,208 ,"209,192 ",,31.87%
460,聲音,208 ,"209,400 ",,31.91%
461,北京,208 ,"209,608 ",,31.94%
462,看看,207 ,"209,815 ",,31.97%
463,歐洲,207 ,"210,022 ",,32.00%
464,程度,207 ,"210,229 ",,32.03%
465,小孩,206 ,"210,435 ",,32.06%
466,有時,206 ,"210,641 ",,32.10%
467,絕對,205 ,"210,846 ",,32.13%
468,電視,205 ,"211,051 ",,32.16%
469,家人,205 ,"211,256 ",,32.19%
470,商品,204 ,"211,460 ",,32.22%
471,在於,204 ,"211,664 ",,32.25%
472,人士,204 ,"211,868 ",,32.28%
473,英國,203 ,"212,071 ",,32.31%
474,人們,203 ,"212,274 ",,32.34%
475,現象,203 ,"212,477 ",,32.38%
476,加入,203 ,"212,680 ",,32.41%
477,吸引,203 ,"212,883 ",,32.44%
478,介紹,202 ,"213,085 ",,32.47%
479,辦法,202 ,"213,287 ",,32.50%
480,資源,202 ,"213,489 ",,32.53%
481,候選人,201 ,"213,690 ",,32.56%
482,製造,200 ,"213,890 ",,32.59%
483,成立,200 ,"214,090 ",,32.62%
484,爸爸,200 ,"214,290 ",,32.65%
485,突然,199 ,"214,489 ",,32.68%
486,解釋,199 ,"214,688 ",,32.71%
487,多少,198 ,"214,886 ",,32.74%
488,感到,198 ,"215,084 ",,32.77%
489,成本,198 ,"215,282 ",,32.80%
490,總是,198 ,"215,480 ",,32.83%
491,人生,198 ,"215,678 ",,32.86%
492,共同,197 ,"215,875 ",,32.89%
493,父親,197 ,"216,072 ",,32.92%
494,材質,197 ,"216,269 ",,32.95%
495,監控,197 ,"216,466 ",,32.98%
496,球員,197 ,"216,663 ",,33.01%
497,直到,196 ,"216,859 ",,33.04%
498,公尺,196 ,"217,055 ",,33.07%
499,帶來,196 ,"217,251 ",,33.10%
500,公分,195 ,"217,446 ",,33.13%
501,有效,195 ,"217,641 ",,33.16%
502,本身,195 ,"217,836 ",,33.19%
503,創作,195 ,"218,031 ",,33.22%
504,馬上,194 ,"218,225 ",,33.25%
505,前往,194 ,"218,419 ",,33.28%
506,國小,194 ,"218,613 ",,33.31%
507,挑戰,193 ,"218,806 ",,33.34%
508,特殊,193 ,"218,999 ",,33.37%
509,機關,193 ,"219,192 ",,33.40%
510,城市,193 ,"219,385 ",,33.43%
511,記得,192 ,"219,577 ",,33.46%
512,目的,192 ,"219,769 ",,33.49%
513,屬於,192 ,"219,961 ",,33.52%
514,競爭,191 ,"220,152 ",,33.54%
515,員工,191 ,"220,343 ",,33.57%
516,單位,191 ,"220,534 ",,33.60%
517,房子,191 ,"220,725 ",,33.63%
518,民主,191 ,"220,916 ",,33.66%
519,開心,190 ,"221,106 ",,33.69%
520,充滿,189 ,"221,295 ",,33.72%
521,癌症,189 ,"221,484 ",,33.75%
522,銀行,189 ,"221,673 ",,33.78%
523,提醒,188 ,"221,861 ",,33.80%
524,實際,188 ,"222,049 ",,33.83%
525,只有,188 ,"222,237 ",,33.86%
526,出來,188 ,"222,425 ",,33.89%
527,宣布,188 ,"222,613 ",,33.92%
528,重點,187 ,"222,800 ",,33.95%
529,左右,187 ,"222,987 ",,33.98%
530,整體,187 ,"223,174 ",,34.01%
531,認識,187 ,"223,361 ",,34.03%
532,衝突,187 ,"223,548 ",,34.06%
533,方便,187 ,"223,735 ",,34.09%
534,老闆,187 ,"223,922 ",,34.12%
535,取得,186 ,"224,108 ",,34.15%
536,做出,186 ,"224,294 ",,34.18%
537,此外,186 ,"224,480 ",,34.20%
538,不用,186 ,"224,666 ",,34.23%
539,就算,185 ,"224,851 ",,34.26%
540,想像,184 ,"225,035 ",,34.29%
541,意見,184 ,"225,219 ",,34.32%
542,正常,184 ,"225,403 ",,34.34%
543,堅持,184 ,"225,587 ",,34.37%
544,重慶,184 ,"225,771 ",,34.40%
545,積極,183 ,"225,954 ",,34.43%
546,觀察,183 ,"226,137 ",,34.46%
547,熱情,183 ,"226,320 ",,34.48%
548,營養,183 ,"226,503 ",,34.51%
549,因素,183 ,"226,686 ",,34.54%
550,選手,183 ,"226,869 ",,34.57%
551,接著,182 ,"227,051 ",,34.60%
552,新聞,182 ,"227,233 ",,34.62%
553,符合,182 ,"227,415 ",,34.65%
554,稱為,182 ,"227,597 ",,34.68%
555,階段,182 ,"227,779 ",,34.71%
556,報告,182 ,"227,961 ",,34.73%
557,地球,182 ,"228,143 ",,34.76%
558,科學,182 ,"228,325 ",,34.79%
559,舉行,182 ,"228,507 ",,34.82%
560,期待,181 ,"228,688 ",,34.85%
561,製作,181 ,"228,869 ",,34.87%
562,飯店,181 ,"229,050 ",,34.90%
563,態度,181 ,"229,231 ",,34.93%
564,心情,181 ,"229,412 ",,34.96%
565,好吃,180 ,"229,592 ",,34.98%
566,以下,180 ,"229,772 ",,35.01%
567,考慮,180 ,"229,952 ",,35.04%
568,以來,180 ,"230,132 ",,35.07%
569,不再,179 ,"230,311 ",,35.09%
570,超級,179 ,"230,490 ",,35.12%
571,錯誤,178 ,"230,668 ",,35.15%
572,利益,178 ,"230,846 ",,35.17%
573,奧運,178 ,"231,024 ",,35.20%
574,工廠,177 ,"231,201 ",,35.23%
575,太多,177 ,"231,378 ",,35.26%
576,逐漸,177 ,"231,555 ",,35.28%
577,創意,177 ,"231,732 ",,35.31%
578,主義,176 ,"231,908 ",,35.34%
579,必要,176 ,"232,084 ",,35.36%
580,行政,176 ,"232,260 ",,35.39%
581,大選,176 ,"232,436 ",,35.42%
582,確實,175 ,"232,611 ",,35.44%
583,批評,175 ,"232,786 ",,35.47%
584,訓練,175 ,"232,961 ",,35.50%
585,最好,175 ,"233,136 ",,35.52%
586,時期,175 ,"233,311 ",,35.55%
587,當地,175 ,"233,486 ",,35.58%
588,大方,174 ,"233,660 ",,35.60%
589,眼睛,174 ,"233,834 ",,35.63%
590,北市,174 ,"234,008 ",,35.66%
591,等等,173 ,"234,181 ",,35.68%
592,附近,173 ,"234,354 ",,35.71%
593,不可能,173 ,"234,527 ",,35.73%
594,本來,172 ,"234,699 ",,35.76%
595,報導,172 ,"234,871 ",,35.79%
596,配合,172 ,"235,043 ",,35.81%
597,適用,172 ,"235,215 ",,35.84%
